subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	centralTask 	centralStream 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlieEndogenous	dot-jump	False	57	circle	1024	768	1.16079767166	70.6	94.12	True	UKIFJYRT9ZDBXWMSECNPALVQ	12	-1.50218272469	-5.60622225078	5.60622225078	1.50218272469	-1.27967045129	-5.68324229838	False	20	8	16	2	24	6	5	18	14	9	20	13	17	8	23	7	22	15	11	19	10	3	12	21	1	4	0
charlieEndogenous	dot-jump	False	58	circle	1024	768	1.16079767166	70.6	94.12	True	UCISLDPYR9NMFEWVJAXHZQKB	16	4.10403952609	-4.10403952609	-5.60622225078	1.50218272469	4.36593448087	-4.47884657952	False	14	9	9	2	5	7	4	15	12	13	23	6	21	8	14	18	16	19	24	20	10	3	22	17	11	1	0
charlieEndogenous	dot-jump	False	59	circle	1024	768	1.16079767166	70.6	94.12	True	EWUMDRQTVF5BXYIPJCHANZKS	6	-5.60622225078	1.50218272469	4.10403952609	4.10403952609	0.0	0.0	False	1	10	11	6	13	3	18	17	14	16	12	10	22	19	5	1	15	2	21	7	23	24	9	8	4	20	0
charlieEndogenous	dot-jump	False	60	circle	1024	768	1.16079767166	70.6	94.12	True	MEFCQJXWZYISA9DULBPKVRNT	10	-4.10403952609	-4.10403952609	-4.10403952609	-4.10403952609	-3.87664872009	-4.25302238223	True	13	13	4	13	17	18	19	9	23	21	16	22	15	7	8	10	1	6	11	20	12	3	2	24	5	14	0
charlieEndogenous	dot-jump	False	61	circle	1024	768	1.16079767166	70.6	94.12	True	MIENXAFVCPYUBD5JRWTLZKSQ	1	0.0	5.80398835832	1.50218272469	5.60622225078	0.376373662144	5.90906649566	False	5	14	4	6	23	7	15	1	5	10	22	16	13	9	2	14	24	8	3	11	18	12	20	21	17	19	0
charlieEndogenous	dot-jump	False	62	circle	1024	768	1.16079767166	70.6	94.12	True	CXTUZDKEYIJSQPBN8RMFWVHL	24	1.50218272469	5.60622225078	5.02640136157	2.90199417916	1.27967045129	5.34450600245	False	17	16	22	2	16	20	12	7	17	18	9	3	4	23	14	15	10	5	21	24	19	1	6	11	13	8	0
charlieEndogenous	dot-jump	False	63	circle	1024	768	1.16079767166	70.6	94.12	True	WXLZHEAYBTV8SIFDUMKQCJPN	17	5.02640136157	-2.90199417916	5.60622225078	1.50218272469	4.93049497409	-2.97335193094	False	21	11	22	4	1	10	11	13	18	3	7	9	21	20	5	24	16	19	8	14	2	12	15	17	6	23	0
charlieEndogenous	dot-jump	False	64	circle	1024	768	1.16079767166	70.6	94.12	True	QKWAJMIT5ESLNBUHRYVPZXDF	17	5.02640136157	-2.90199417916	5.60622225078	-1.50218272469	4.85522024166	-3.1239013958	False	3	8	21	10	22	17	23	2	9	24	18	8	12	16	11	13	7	5	15	6	1	3	14	20	19	4	0
charlieEndogenous	dot-jump	False	65	circle	1024	768	1.16079767166	70.6	94.12	True	WSKAIBCYZNPUT9EJHXRDFLVM	3	-2.90199417916	5.02640136157	-5.80398835832	0.0	-3.1239013958	4.89285760787	False	18	13	21	24	4	15	20	13	5	11	9	23	12	6	2	7	16	14	17	1	3	19	22	18	10	8	0
charlieEndogenous	dot-jump	False	66	circle	1024	768	1.16079767166	70.6	94.12	True	NKXFJRLIBE5ZHDWQAVYTUPSM	7	-5.80398835832	0.0	-5.60622225078	-1.50218272469	-6.02197859431	-0.33873629593	False	2	10	14	15	7	4	2	13	9	23	5	18	8	3	22	17	21	11	1	24	12	16	10	6	20	19	0
charlieEndogenous	dot-jump	False	67	circle	1024	768	1.16079767166	70.6	94.12	True	HJVESPCKZQNFLW2TMUXADBRI	1	0.0	5.80398835832	-5.60622225078	-1.50218272469	0.489285760787	5.60796756595	False	17	14	6	4	23	5	11	7	13	24	15	18	19	16	9	10	8	2	17	1	20	14	12	22	21	3	0
charlieEndogenous	dot-jump	False	68	circle	1024	768	1.16079767166	70.6	94.12	True	ZBUERSQJD9XLHPMITFAYCWKV	24	1.50218272469	5.60622225078	5.02640136157	-2.90199417916	1.27967045129	5.45741810109	False	4	9	14	19	3	21	24	10	20	6	11	17	15	23	4	8	2	12	1	9	7	22	5	16	18	13	0
charlieEndogenous	dot-jump	False	69	circle	1024	768	1.16079767166	70.6	94.12	True	NYDLXUHVRMCA6WJSIFZBTEQP	11	-2.90199417916	-5.02640136157	1.50218272469	5.60622225078	-2.63461563501	-4.7046707768	False	1	12	15	11	22	13	9	18	6	21	7	16	5	14	24	20	17	8	23	1	12	19	3	10	4	2	0
charlieEndogenous	dot-jump	False	70	circle	1024	768	1.16079767166	70.6	94.12	True	BDCAJZFVPKSTENWI5QYHULMR	7	-5.80398835832	0.0	4.10403952609	-4.10403952609	-5.57033019973	-0.451648394573	False	17	16	8	13	1	20	23	15	11	2	3	21	17	24	4	22	14	9	16	7	6	12	10	5	18	19	0
charlieEndogenous	dot-jump	False	71	circle	1024	768	1.16079767166	70.6	94.12	True	JRUDIPBXQYTZMLF1ANVSCEWK	18	5.60622225078	-1.50218272469	5.02640136157	2.90199417916	5.15631917138	-1.43021991615	False	16	15	10	12	3	13	9	2	23	6	4	8	14	24	1	16	17	21	18	22	11	15	5	19	7	20	0
charlieEndogenous	dot-jump	False	72	circle	1024	768	1.16079767166	70.6	94.12	True	UTRIBJYCNSXDWA8MPHFZVEQK	16	4.10403952609	-4.10403952609	2.90199417916	5.02640136157	3.76373662144	-4.02719818494	False	18	14	10	1	3	7	4	9	13	15	8	5	20	12	22	17	23	2	18	14	16	11	6	21	19	24	0
charlieEndogenous	dot-jump	False	73	circle	1024	768	1.16079767166	70.6	94.12	True	UKYCXIEMHQJSNAVL9DTFBPZR	18	5.60622225078	-1.50218272469	5.02640136157	-2.90199417916	4.59175867816	-1.39258254993	False	21	16	21	1	13	3	2	19	8	12	4	10	6	24	14	5	22	20	17	11	23	9	16	18	15	7	0
charlieEndogenous	dot-jump	False	74	circle	1024	768	1.16079767166	70.6	94.12	True	HTFXUMZVLYN9DJPWAECRSKQB	21	5.02640136157	2.90199417916	0.0	-5.80398835832	4.59175867816	2.89807719851	False	1	11	9	21	18	2	17	5	8	6	14	3	20	13	23	11	16	22	4	12	7	24	10	15	1	19	0
charlieEndogenous	dot-jump	False	75	circle	1024	768	1.16079767166	70.6	94.12	True	QHBJXELYKUANCPZ3RITDWFVM	18	5.60622225078	-1.50218272469	-4.10403952609	4.10403952609	5.08104443895	-1.65604411343	False	16	15	12	5	8	14	6	10	22	23	13	21	24	3	17	16	20	4	18	1	9	15	19	7	11	2	0
